,LAT,LON,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Bridgeporttownship,43.36093,-83.88511,5.0,12747.0,2.82,12.07,82.57,0.38,8.07,15.99,26.89,13.54,8.72,8616.0,67.59,32083.0,79.48,1.78,37.65,25.41,11.34,19.16,35732.0,12703.0,12367.0,14346.0,15840.0,94005.0,8780.0,8216.0,1725.0,13.7,7.23,24.24,9.21,8.32,59.89,29.09,18.9,23.04,17.22,8.91,28.52,12.57,10.82,3.18,70.8,68.55,75.48,76.86,67.85,68.64,331.0,3.05,225.0,8.89,12.0,12.0,17.78,0.16,0.21,0.21,0.31,94.53,1.0,5.29,4.21,2.8,2.92,2.4,79.84,2.86,33.35,3.0,163.0,96.51,76.5,3.07,61.96,1963.0,2.35,0.47,34300.0,46500.0,60900.0,26600.0,242.0,307.0,350.0,108.0,376.0,26.6,17.4,12.7,-607.2988,-201.2187,1.77,85.3,66.76,92.74,96.95,671.2343,285.65765,-624.7123,144.46776,74409.37,16263.006,206.67336,306.49866,89.69432,83.87066,11.996683,7.09572,0.7178107,21.29944,-10.17705,7.005666,69.25933,35.9,355.3,0.48,74.32227,23250260.0,48.75479,1.3539536,3.320175,124474.734,22.644049,14.6285095,43.16003,68.46595,7.0,53.45,12.0,91.63,64.0,488.7,202.0,1542.46,11.0,84.0,1.0,7.64,834.6087,2122.79
Woodhavencity,42.138985,-83.2418,5.0,11631.0,2.93,0.65,96.03,2.28,2.61,17.68,28.64,14.52,4.75,11631.0,100.0,47513.0,92.68,0.84,46.17,11.17,2.78,12.31,53178.0,17438.0,17595.0,21188.0,4965.0,11941.0,21731.0,13471.0,414.0,3.61,5.18,14.97,15.62,5.09,72.41,30.69,20.81,14.37,23.0,7.69,28.94,9.96,8.85,3.37,87.11,86.79,95.97,92.5,54.0,68.48,85.0,1.14,484.0,10.54,15.29,17.98,25.0,0.44,0.64,0.75,1.04,95.08,0.81,4.32,3.41,2.9,3.31,1.89,81.04,1.64,35.36,3.0,177.0,95.72,70.93,0.56,11.86,1975.0,1.26,0.17,76400.0,89700.0,106400.0,30000.0,409.0,433.0,465.0,56.0,484.0,23.5,15.8,14.0,-906.6686,-89.02213,4.16,78.93,60.19,91.01,94.24,564.2254,317.85043,-799.14545,189.26085,78093.56,30566.146,141.75792,294.1506,94.156334,89.83798,5.386523,6.7576733,0.67606485,14.795444,-8.732375,6.1737494,21.99669,6.7,1734.9,0.76,75.51946,37295420.0,71.68841,2.1018705,1.979804,157838.23,46.62038,6.124309,15.1095915,49.04324,4.0,33.36,15.0,125.08,84.0,700.47,547.0,4561.37,70.0,583.72,2.0,16.68,480.08392,5862.24
ApacheJunctioncity,33.415047,-111.549576,5.0,18100.0,2.35,0.38,96.39,0.35,5.62,10.48,19.4,8.8,24.95,18196.0,100.0,19686.0,60.02,0.45,35.98,45.6,6.29,25.76,23151.0,9946.0,9905.0,5060.0,13216.0,11093.0,10249.0,7671.0,3005.0,16.72,10.37,29.89,7.25,6.82,45.31,13.27,16.77,17.01,14.72,12.6,16.99,13.33,12.98,2.75,69.07,65.32,73.92,74.11,61.44,73.61,229.0,1.27,425.0,5.351536,19.76,24.94,32.24,1.014443,0.46,0.59,0.76,93.83,0.23,3.72,2.58,2.31,2.25,2.52,74.9,5.78,76.07,2.0,5055.0,60.38,76.94,5.66,25.74,1979.0,9.34,0.52,48300.0,57700.0,71100.0,22800.0,252.0,305.0,379.0,127.0,400.0,28.3,23.4,13.9,-823.2335,1.0,2.34,20.91,42.29,58.81,74.73,703.30334,298.1299,-712.4862,245.79498,77238.56,144618.6,616.7804,311.69022,82.07317,94.16837,10.162302,0.028771207,0.45224813,10.459843,13.728055,7.122484,82.92532,17.0,1063.0,0.29,145.60037,63983680.0,88.8108,1.0059834,6.4138002,131359.83,1.0,4.52,8.0,36.19,5.0,22.62,72.0,325.75,214.0,968.19,729.0,3298.19,61.0,275.98,6.0,27.15,389.09,4569.52
SouthSanFranciscodivision,37.654655,-122.40775,5.0,280039.0,2.82,4.82,61.64,26.37,19.39,12.25,26.29,12.39,10.71,279874.0,99.98,43088.0,82.17,0.57,47.05,22.72,5.77,16.49,48707.0,17622.0,19632.0,15256.0,15338.0,14858.0,11579.0,12278.0,16162.0,5.85,7.33,18.13,23.85,4.43,67.21,9.53,19.56,11.22,25.19,9.22,33.18,12.64,10.99,3.32,76.63,72.06,86.83,78.97,70.39,75.87,4841.0,2.52,86104.0,13.91,21.87,33.36,43.05,4.28,6.72,10.26,13.24,60.17,6.15,9.26,6.55,2.78,2.91,2.59,62.91,11.59,52.24,2.0,3641.0,96.47,60.14,1.32,19.36,1959.0,0.81,0.42,237400.0,288000.0,367500.0,130100.0,585.0,695.0,879.0,294.0,749.0,27.4,25.0,11.5,217.0,122.0,30.76,48.31,53.89,73.5,89.99,1169.196,122.36993,310.44128,96.49077,-51429.72,25823.742,437.3178,188.24895,75.29062,74.89005,6.117,6.113981,2.1564758,13.109551,6.922004,5.9820905,118.577705,61.9,4522.6,11.51,-7.5060344,75735270.0,88.11477,2.284083,6.1777105,102368.6,2.0,3.56,5.0,8.9,78.0,138.84,127.0,226.07,331.0,589.2,1494.0,2659.4,294.0,523.34,21.0,37.38,377.37,3809.32
Maynardtown,42.43349,-71.44951,5.0,10325.0,2.55,0.83,96.39,1.8,2.32,10.97,25.44,11.11,11.5,10325.0,100.0,43253.0,82.29,1.5,50.42,25.36,3.69,15.9,50874.0,19202.0,19306.0,27745.0,2431.0,14503.0,2736.0,15339.0,574.0,5.57,4.25,13.74,28.47,5.92,69.63,33.13,21.16,8.97,34.05,7.49,32.8,10.65,9.12,3.06,79.22,77.57,89.59,64.42,65.17,73.17,86.0,1.22,664.0,9.19,14.91,18.22,29.67,0.59,0.96,1.17,1.91,90.9,1.29,4.08,2.81,2.55,2.72,2.23,69.26,1.36,37.83,3.0,160.0,96.2,64.85,3.9175272,33.12,1954.0,0.79,0.32556894,144300.0,166700.0,192100.0,47800.0,370.0,547.0,721.0,351.0,631.0,24.3,22.4,15.7,-1038.4697,-264.62067,6.43,71.7,57.29,85.97,90.44,861.7554,289.26913,-77.52217,157.76797,-44344.695,53931.19,186.35938,315.38754,80.22361,92.42826,3.702908,0.71846527,0.054964308,4.5567827,24.635609,3.851725,11.137405,5.4,1902.6,1.47,60.08262,48602264.0,71.91094,0.81111825,2.429201,155830.5,74.016525,5.3526855,2.0,19.1,-862.9856,237.98254,25.0,238.75,62.0,592.11,88.0,840.42,8.0,76.4,3.0,28.65,257.86,1537.58
Lumbertoncity,34.61822,-79.008644,5.0,18601.0,2.62,30.39,56.66,0.62,0.45,14.68,25.9,12.69,13.68,104710.875,104.843,19030.0,71.8,1.18,23.83,30.69,17.99,12.13,24211.0,10704.0,14470.0,5079.0,7084.0,7591.0,13676.0,12108.0,5235.0,29.1,17.8,38.36,18.49,8.66,53.71,27.92,24.59,21.56,28.3,10.4,32.25,15.84,13.48,3.09,54.71,48.06,46.85,57.85,70.06,71.93,1405.0,7.69,183.0,11.0745735,5.46,34.43,42.08,1.2265154,0.05,0.34,0.41,96.89,0.45,5.06,3.57,2.52,2.54,2.5,56.76,3.81,43.33,3.0,513.0,93.26,56.42,2.34,40.35,1966.0,10.14,0.34,32600.0,49800.0,77400.0,44800.0,112.0,184.0,259.0,147.0,286.0,27.8,21.3,15.7,2.0,19.340792,0.98,80.78,57.46,85.75,92.75,890.25977,203.17842,33.538578,109.14811,93556.37,85551.586,422.4859,269.88806,71.90168,76.83126,25.08935,1.9034318,0.57914805,27.228977,37.006863,8.350692,70.80853,12.5,1493.3,3.6585026,181.40886,60044990.0,68.944595,0.8988286,5.7514834,63906.387,4.0,20.49,2.0,10.24,77.0,394.35,105.0,537.74,601.0,3077.95,1351.0,6918.98,134.0,686.26,11.0,56.34,962.82,10739.53
WebsterGrovescity,38.592552,-90.35734,5.0,22987.0,2.57,7.09,91.75,0.79,0.95,11.42,20.06,8.51,15.25,22987.0,100.0,41489.0,75.26,0.87,63.61,33.11,2.78,18.49,49494.0,20238.0,21280.0,8005.0,12294.0,7735.0,38720.0,21101.0,889.0,3.96,3.77,10.51,46.79,3.7,62.68,14.76,34.24,5.43,46.24,5.85,23.69,9.3,7.73,3.05,83.73,82.08,95.86,82.59,67.87,71.28,171.0,1.0,506.0,33.79,45.45,47.63,51.78,0.74,1.0,1.05,1.14,96.55,0.36,3.76,2.67,2.51,2.63,1.9,88.02,0.63,38.15,3.0,445.0,95.26,84.15,1.35,40.45,1944.0,0.85,0.15,77400.0,98100.0,143900.0,66500.0,326.0,452.0,646.0,320.0,530.0,26.8,19.3,12.6,-435.95197,-163.98521,2.2,66.74,66.54,82.78,91.81,566.38556,318.76764,-104.65979,201.27036,-163353.03,64848.39,171.55894,362.43024,86.22392,93.61702,8.792437,-2.2117019,0.0042956746,7.2192087,-2.5497844,5.187643,51.444237,6.1,3761.0,2.07,25.966202,39626596.0,80.263336,0.5583593,3.300648,173892.55,1.0,4.3,14.041826,36.545902,11.0,47.3,17.0,73.09,71.0,305.27,316.0,1358.67,34.0,146.19,6.0,25.8,124.69,1835.93
Hamptoncity,37.02987,-76.34522,5.0,133793.0,2.69,38.85,58.41,1.75,1.97,15.27,30.86,15.85,8.9,133793.0,100.0,30144.0,82.79,0.46,35.64,20.28,5.73,20.45,34291.0,13099.0,15039.0,10325.0,14300.0,11707.0,7811.0,11513.0,13831.0,10.82,6.84,20.31,19.07,5.87,64.86,18.75,22.94,11.97,24.88,10.82,30.76,13.57,12.25,3.07,70.94,66.18,77.15,73.44,60.96,70.7,4118.0,4.51,3858.0,11.53,20.84,28.07,35.25,0.33,0.6,0.81,1.02,94.8,0.65,3.88,2.79,2.58,2.65,2.48,60.89,2.72,41.34,3.0,3950.0,92.63,59.25,1.22,27.29,1966.0,5.23,0.27,63000.0,78200.0,97700.0,34700.0,303.0,385.0,471.0,168.0,470.0,26.1,22.4,13.2,18.0,1.0,2.88,47.36,45.63,66.09,77.87,204.0,144.65,181.0,128.34,126926.0,89996.7,622.2,144.6,75.08,83.33,16.67,-1.9475521,0.22506674,16.67,18.0,8.0,33.6,53.7,2492.2,2.38,170.0,15176792.0,88.73,5.0,8.82,107610.9,14.0,9.93,49.0,34.74,329.0,233.28,251.0,177.97,962.0,682.11,5532.0,3922.46,561.0,397.78,73.0,51.76,455.92,5054.1
Newtoncity,41.70332,-93.05735,5.0,14789.0,2.37,0.22,98.77,0.67,0.76,12.71,23.52,10.64,15.39,-3421.27,102.22314,28381.0,73.54,2.4,50.61,32.4,5.77,19.32,35138.0,13870.0,13949.0,8896.0,42466.0,4187.0,19756.0,12930.0,1083.0,7.49,8.24,21.01,15.64,4.0,61.18,34.56,21.22,18.66,21.12,8.76,21.04,10.77,9.84,2.88,77.34,75.67,83.77,77.47,74.05,78.84,132.0,1.07,183.0,24.04,24.04,27.32,49.18,0.3,0.3,0.34,0.61,96.38,0.58,2.15,1.46,2.34,2.53,1.88,75.76,1.0,47.81,3.0,248.0,96.17,69.91,0.4,39.92,1956.0,2.62,0.08,34700.0,46800.0,65700.0,31000.0,183.0,258.0,325.0,142.0,300.0,20.8,15.2,12.1,129.95546,-102.3737,1.24,79.52,55.78,83.56,93.56,604.06055,194.16321,-227.54147,140.67305,482.79272,41263.45,221.13889,211.66862,85.86963,92.321045,8.1762905,1.8390683,0.35735792,10.018648,8.676762,10.139771,67.189705,9.3,1593.0,0.25,96.373116,39148776.0,79.50354,1.5707899,3.0379488,90924.07,51.099358,10.214145,1.0,6.67,1112.7283,288.0345,13.0,86.77,65.0,433.83,467.0,3116.87,29.0,193.55,76.14122,24.852257,93.44,6775.518
Alexandriacity,31.311293,-92.44514,5.0,49188.0,2.71,49.29,49.64,0.7,1.03,15.12,27.45,12.96,12.72,49188.0,100.0,18546.0,70.5,0.36,27.78,28.74,14.61,16.75,23151.0,10887.0,16216.0,5251.0,5400.0,28931.0,19074.0,11043.0,13710.0,28.78,14.08,31.37,18.4,11.25,51.28,6.85,35.79,10.44,28.97,11.47,32.28,16.1,14.05,3.25,55.85,46.39,59.93,59.98,61.04,69.15,4002.0,9.08,559.0,15.03,20.93,26.3,34.7,0.17,0.24,0.3,0.39,94.66,0.46,7.79,5.42,2.63,2.64,2.61,56.95,5.54,48.37,3.0,2214.0,89.12,56.64,15.31,50.14,1962.0,10.81,0.64,35600.0,54300.0,80300.0,44700.0,148.0,233.0,338.0,190.0,332.0,30.6,19.3,14.0,49.0,-429.9047,1.14,79.15,53.03,85.09,91.36,228.0,492.77,113.0,244.22,15235.0,32927.0,66.8,492.8,68.94,80.7,19.3,1.2153549,0.17108756,19.3,11.0,8.0,-59.824005,25.6,1919.6,2.96,81.0,4584714.0,49.56,10.0,4.82,99088.2,21.0,45.39,23.0,49.71,117.0,252.87,1613.0,3486.14,758.0,1638.25,3119.0,6741.01,286.0,618.12,-163.15459,-1.508272,3834.1,8997.38
Taylorcity,42.24087,-83.26965,5.0,70811.0,2.85,4.21,93.23,1.26,2.81,15.39,29.94,14.71,7.33,70811.0,100.0,32659.0,81.77,0.38,31.61,20.72,11.19,15.91,36244.0,12955.0,13147.0,10051.0,11526.0,10905.0,10219.0,10039.0,8325.0,11.92,9.06,31.8,6.76,8.88,59.98,28.38,14.27,23.73,14.34,10.82,30.64,14.91,12.96,3.21,68.46,66.0,76.21,73.52,48.12,56.84,1909.0,3.36,2761.0,7.03,9.13,17.13,21.08,0.27,0.36,0.67,0.82,93.96,0.69,5.23,4.07,2.82,2.92,2.59,70.31,3.17,39.81,3.0,866.0,96.63,67.75,2.19,24.25,1962.0,2.6,0.31,37200.0,48400.0,63900.0,26700.0,294.0,387.0,444.0,150.0,457.0,23.2,15.9,12.8,-563.86127,-263.79703,3.9,74.75,59.51,91.92,94.73,105.0,152.34,95.0,137.83,47935.0,69548.6,456.5,152.3,93.23,100.0,-3.2060812,2.2970035,0.27455673,1.6058273,5.0,9.0,245.0,24.5,2894.5,0.69,62.0,5471050.0,90.48,1.4301342,4.76,79379.2,4.0,5.8,80.90238,65.91346,138.0,200.22,435.0,631.14,729.0,1057.7,3078.0,4465.85,467.0,677.57,41.0,59.49,416.92545,6260.61
Moundsvillecity,39.920353,-80.74314,5.0,10753.0,2.53,1.28,98.36,0.2,1.13,13.06,23.38,11.62,17.01,10753.0,100.0,20036.0,63.85,0.16,38.33,39.86,10.0,25.7,24126.0,10048.0,10078.0,6528.0,3723.0,2000.0,7498.228,8895.0,1692.0,16.7,14.37,35.59,8.71,9.34,43.98,14.97,25.51,18.5,19.88,12.11,27.58,12.7,12.41,2.95,72.67,66.92,78.98,84.27,48.0,61.72,168.0,1.72,30.0,6.559226,8.872345,12.47648,19.99348,1.2118995,0.08017758,1.3083448,1.6179148,97.61,0.32,2.68,1.88,2.38,2.42,2.31,69.51,1.22,51.99,2.0,360.0,92.2,68.48,4.17,56.94,1943.0,9.98,0.26,27900.0,38100.0,50400.0,22500.0,142.0,188.0,238.0,96.0,276.0,28.0,15.7,11.8,-990.41174,-253.18611,0.28,84.48,58.35,86.25,93.1,419.10513,299.08527,-750.41376,290.8729,-35059.59,97465.86,245.79729,324.97513,91.31064,88.03286,8.550484,2.787601,0.47841585,12.722319,-32.841675,7.827437,71.798836,3.0,3623.0,0.11,100.065285,54354956.0,78.2324,0.294032,6.274254,196993.56,35.573307,11.837064,69.43849,90.93423,1.0,9.23,3.0,27.69,80.0,738.28,278.0,2565.52,34.0,313.77,-61.406338,57.45548,36.91,3617.57
Anchoragecity,61.217575,-149.89967,5.0,226338.0,2.74,6.43,80.74,4.82,4.09,13.96,28.98,13.23,3.48,221745.0,97.97,43946.0,90.83,1.16,71.66,9.3,6.38,11.91,50098.0,19620.0,21277.0,13649.0,10760.0,13604.0,13713.0,13092.0,15614.0,7.07,2.81,9.61,26.85,6.46,73.29,3.6,23.88,8.2,32.34,12.91,30.96,16.43,14.62,3.2,75.08,73.33,80.91,79.36,59.56,69.06,4524.0,3.32,13359.0,15.91,25.86,37.12,44.62,0.94,1.53,2.19,2.63,90.27,1.37,5.36,3.69,2.68,2.84,2.5,55.96,4.89,47.7,3.0,11451.0,87.84,52.81,5.83,42.75,1976.0,3.4,0.55,81700.0,109700.0,143300.0,61600.0,412.0,528.0,692.0,280.0,564.0,24.8,22.6,11.4,310.0,34.0,5.9,26.62,37.54,68.86,75.0,266.0,104.93,252.0,99.41,107811.0,42529.0,405.3,104.9,89.39,89.47,4.14,1.88,2.63,8.65,16.0,11.0,-70.69433,1758.8,128.7,2.42,301.0,29413120.0,94.74,10.0,6.02,116028.1,23.0,9.07,212.0,83.63,568.0,224.06,1410.0,556.21,1880.0,741.62,10660.0,4205.13,1387.0,547.14,105.0,41.42,872.98,5535.31
Irvingcity,32.81402,-96.94889,5.0,155037.0,2.45,7.52,78.73,4.61,16.28,13.16,34.64,15.76,5.01,155037.0,100.0,31767.0,90.72,0.92,35.28,10.97,2.28,7.89,37072.0,16424.0,18131.0,11982.0,10148.0,11418.0,7608.0,8307.0,16209.0,10.55,7.43,19.29,26.19,5.24,75.65,15.91,15.77,12.38,26.79,12.54,33.57,17.23,14.89,3.07,72.46,69.41,81.92,74.36,69.83,74.74,2175.0,2.38,19560.0,19.83,32.14,48.19,65.61,2.5,4.05,6.08,8.28,80.23,4.9,5.27,3.3,2.44,2.73,2.26,41.68,7.96,64.72,2.0,7823.0,88.99,37.15,1.05,20.93,1976.0,6.09,0.35,63400.0,79400.0,102900.0,39500.0,351.0,424.0,524.0,173.0,485.0,23.0,20.0,12.2,-802.6885,71.59774,12.62,52.32,35.53,67.51,82.91,238.0,141.65,213.0,126.77,113377.0,67477.5,476.4,141.6,85.45,92.86,2.52,3.78,0.42,6.72,12.0,11.0,48.3,70.1,2213.0,1.5,91.0,12657826.0,89.5,10.0,5.04,75334.3,8.0,4.76,67.0,39.88,185.0,110.1,415.0,246.99,1663.0,989.75,7583.0,4513.1,897.0,533.86,45.0,26.78,401.73,6063.49
SaratogaSpringscity,43.08313,-73.78457,5.0,25001.0,2.58,3.28,95.48,0.74,1.38,19.92,33.11,20.65,11.62,39179.957,102.027336,30938.0,76.93,0.68,52.03,28.57,5.1,15.66,40638.0,15876.0,16212.0,9813.0,9486.0,2406.0,10781.0,11048.0,2028.0,8.87,7.06,16.55,30.79,5.46,59.96,10.86,36.11,9.13,37.74,8.68,40.53,11.02,9.93,3.04,76.05,74.35,89.3,80.58,50.28,65.35,276.0,1.63,740.0,5.54,14.05,17.7,23.38,0.16,0.42,0.52,0.69,95.12,0.05,3.68,2.22,2.36,2.7,1.96,61.53,1.34,48.05,3.0,1063.0,90.11,53.67,0.85,52.49,1959.0,2.28,0.29,85600.0,108800.0,151100.0,65500.0,315.0,408.0,499.0,184.0,475.0,27.6,18.9,12.8,1.0,-334.49,2.96,71.72,47.93,71.42,84.67,699.0296,171.74162,-296.0803,120.271866,-174051.1,31059.754,258.791,258.0988,84.290245,80.7099,22.45111,0.032313664,0.29144725,21.372362,-9.987991,5.5114884,-14.451047,29.4,848.9,1.64,81.18145,48745252.0,81.520096,0.9920955,4.531998,67473.17,58.09752,15.384232,20.0,76.72,13.0,49.87,314.0,1204.5,245.0,939.81,963.0,3694.04,40.0,153.44,7.0,26.85,1331.08,4814.15
Bedfordtown,42.946327,-71.5132,5.0,12563.0,3.14,0.19,98.46,1.18,0.52,15.39,21.75,10.85,7.89,2075.0,16.52,63782.0,86.11,0.93,65.58,17.51,0.5,14.35,68187.0,25883.0,25864.0,21818.0,7000.0,28021.0,40800.0,24358.0,274.0,2.24,4.76,10.34,42.97,3.83,70.83,15.87,25.86,4.5,44.34,4.65,24.24,5.66,5.17,3.31,92.19,91.19,97.6,94.43,71.65,76.65,13.0,0.15,519.0,12.953192,5.78,10.02,10.02,2.3155823,0.24,0.41,0.41,87.51,0.22,4.28,3.7,3.07,3.12,2.33,94.74,0.25,13.02,3.0,159.0,96.17,93.07,1.9346302,50.31,1976.0,0.4697165,0.18288991,151700.0,199500.0,258600.0,106900.0,441.0,760.0,930.0,489.0,849.0,26.1,23.1,12.5,-464.96448,-85.78977,4.13,48.42,60.17,82.33,85.46,1147.2826,432.31232,-353.19113,294.61133,-24247.25,75275.49,130.16495,490.5951,79.11247,92.35006,0.7178453,-1.1306314,0.07498619,0.6856978,30.314169,5.1656356,9.183182,34.0,369.3,0.39,83.92033,47006244.0,77.181366,2.0032458,2.6695266,251243.19,56.831245,6.530232,45.028107,30.978477,1.0,7.88,3.0,23.64,19.0,149.69,99.0,779.96,8.0,63.03,76.94383,12.280104,31.51,992.67
Muskogeecity,35.747875,-95.36969,5.0,37708.0,2.5,18.85,69.02,0.53,1.5,13.67,24.46,11.63,16.42,110554.19,101.96039,19507.0,64.99,0.99,29.34,36.05,11.68,18.86,24733.0,10436.0,11968.0,6726.0,7732.0,6344.0,3747.0,7008.0,8214.0,22.47,11.28,31.06,15.97,6.21,51.58,17.39,26.93,17.49,22.43,12.47,23.64,16.01,14.42,3.03,65.86,61.7,70.86,69.68,55.53,64.9,1393.0,4.29,384.0,14.32,24.22,28.91,38.8,0.15,0.25,0.29,0.4,96.35,0.47,4.49,3.02,2.42,2.46,2.36,64.73,2.72,50.87,2.0,2586.0,85.37,63.75,3.75,54.83,1959.0,10.98,0.42,26900.0,40300.0,59400.0,32500.0,157.0,229.0,290.0,133.0,298.0,27.7,19.6,13.5,73.0,-202.94003,1.02,69.79,50.52,83.12,93.06,579.4656,223.3701,-311.24835,145.06161,4580.821,76654.32,455.39285,236.56104,76.01807,85.0896,16.793198,2.4808075,0.24115336,18.92234,21.295992,7.336242,87.38519,35.7,1055.8,0.07,188.76503,48764096.0,78.79955,0.912389,5.8713145,39172.473,6.0,15.31,39.0,99.49,109.0,278.05,298.0,760.18,837.0,2135.15,1663.0,4242.24,243.0,619.88,20.0,51.02,1153.03,7048.29
WestBendcity,43.425278,-88.183426,5.0,23916.0,2.75,0.13,98.74,0.47,0.92,13.83,27.68,12.85,10.66,-182556.84,101.05999,34337.0,81.15,0.46,53.95,24.98,4.52,13.82,38565.0,13957.0,14025.0,2806.0,8036.0,5512.0,28686.0,11737.0,1025.0,4.37,10.04,19.66,16.54,3.43,68.31,35.63,17.93,22.1,21.92,7.2,27.51,9.66,8.48,3.2,82.0,81.94,88.27,84.38,66.43,75.34,264.0,1.42,349.0,9.466075,1.72,8.02,9.74,1.662237,0.03,0.12,0.14,95.85,0.35,4.49,3.29,2.71,2.96,2.28,68.84,1.51,39.8,3.0,201.0,97.74,62.96,0.5,25.87,1967.0,1.46,0.32,62500.0,73100.0,90400.0,27900.0,320.0,391.0,444.0,124.0,455.0,23.8,20.4,13.0,2.0,-278.71646,1.46,84.14,52.47,82.5,94.86,553.0044,295.70032,-673.86816,201.41971,26032.166,66950.27,236.5769,328.20798,88.66663,92.72705,4.462684,3.615107,0.7362362,10.475333,-22.369165,6.5238695,-20.853348,10.4,2302.0,0.28,81.840576,42771180.0,78.80957,1.8675419,3.3975806,152709.94,71.44418,8.082905,6.0,21.87,1.0,3.64,28.0,102.06,91.0,331.69,1095.0,3991.25,44.0,160.38,9.0,32.8,127.57,4516.13
Lafayettecity,30.22409,-92.019844,5.0,94440.0,2.6,27.19,70.8,1.35,1.71,16.61,31.09,16.76,8.64,94460.0,100.0,23430.0,78.83,1.1,34.59,20.48,7.99,11.08,30957.0,12925.0,15899.0,5436.0,4793.0,10989.0,10118.0,11061.0,19898.0,21.89,12.13,24.79,27.26,8.73,57.69,6.23,29.18,9.32,32.53,10.0,36.05,13.16,11.66,3.16,68.02,64.66,75.15,67.86,58.73,64.07,4571.0,6.33,2506.0,25.18,40.06,51.68,60.85,0.67,1.06,1.37,1.61,78.51,1.47,5.44,3.53,2.5,2.75,2.23,58.49,4.61,51.49,2.0,4053.0,89.96,53.34,5.5,45.5,1971.0,6.12,0.67,41900.0,66000.0,94200.0,52300.0,198.0,254.0,327.0,129.0,333.0,24.2,18.0,13.1,46.0,1.0,2.65,79.32,49.61,79.34,92.78,171.0,166.15,160.0,155.46,90378.0,87813.0,528.5,166.1,80.74,90.06,9.94,-0.5977235,0.67047143,9.94,20.0,7.0,161.4,42.4,2226.3,2.16,120.0,7189527.0,93.57,0.74668235,11.7,69854.8,18.0,17.49,50.0,48.58,245.0,238.05,582.0,565.48,1493.0,1450.63,5869.0,5702.43,381.0,370.19,52.0,50.52,869.6,7573.77
